date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2008-01-01,27.9,24.0,25.5,5.7,13.4,14.74,Belém,Norte
2008-01-02,29.4,23.4,25.7,6.0,12.2,18.02,Belém,Norte
2008-01-03,30.1,24.0,26.3,1.7,13.7,21.65,Belém,Norte
2008-01-04,29.9,24.0,26.0,7.0,15.1,19.58,Belém,Norte
2008-01-05,28.0,24.3,25.5,10.3,12.9,12.89,Belém,Norte
2008-01-06,28.9,24.1,26.1,2.6,13.3,20.46,Belém,Norte
2008-01-07,30.3,24.7,27.1,0.2,14.6,21.57,Belém,Norte
2008-01-08,29.1,24.8,26.1,4.9,11.1,16.89,Belém,Norte
2008-01-09,28.0,24.2,25.7,10.4,14.5,15.09,Belém,Norte
2008-01-10,29.3,23.7,26.0,3.9,13.8,19.99,Belém,Norte
2008-01-11,29.9,24.3,26.7,0.6,12.4,22.49,Belém,Norte
2008-01-12,30.8,25.0,27.1,1.1,12.3,19.33,Belém,Norte
2008-01-13,29.0,25.0,26.5,3.8,12.5,18.0,Belém,Norte
2008-01-14,28.7,23.8,25.5,17.3,13.6,15.73,Belém,Norte
2008-01-15,26.2,23.9,25.0,9.7,12.7,9.97,Belém,Norte
2008-01-16,29.4,23.9,25.9,4.0,14.3,19.94,Belém,Norte
2008-01-17,27.7,23.8,25.1,29.4,11.4,14.4,Belém,Norte
2008-01-18,25.1,23.1,23.9,15.0,13.2,5.88,Belém,Norte
2008-01-19,27.6,23.2,25.0,13.7,13.5,14.92,Belém,Norte
2008-01-20,27.4,23.7,25.2,13.3,11.4,13.42,Belém,Norte
2008-01-21,27.7,23.9,25.1,8.2,11.1,12.67,Belém,Norte
2008-01-22,28.8,23.4,25.1,9.8,10.9,15.87,Belém,Norte
2008-01-23,28.6,23.7,25.3,4.2,13.8,14.9,Belém,Norte
2008-01-24,28.2,24.0,25.7,5.2,13.7,15.27,Belém,Norte
2008-01-25,28.8,24.5,25.9,6.3,13.0,16.76,Belém,Norte
2008-01-26,28.1,24.3,25.5,10.2,13.6,14.41,Belém,Norte
2008-01-27,26.2,23.7,24.8,19.4,14.4,9.41,Belém,Norte
2008-01-28,26.2,23.6,24.7,18.2,9.7,7.53,Belém,Norte
2008-01-29,28.1,23.8,25.5,8.2,8.6,13.65,Belém,Norte
2008-01-30,28.1,24.0,25.7,9.3,8.5,16.66,Belém,Norte
2008-01-31,27.8,23.8,25.3,17.4,9.7,14.37,Belém,Norte
2008-02-01,25.9,23.8,24.6,13.5,8.2,9.19,Belém,Norte
2008-02-02,27.4,23.7,24.8,17.2,9.4,14.68,Belém,Norte
2008-02-03,29.0,23.6,25.3,11.3,11.6,15.0,Belém,Norte
2008-02-04,30.0,24.1,26.5,0.5,15.3,20.44,Belém,Norte
2008-02-05,28.5,24.1,25.7,17.3,14.1,17.74,Belém,Norte
2008-02-06,29.6,24.1,26.0,4.2,14.0,21.58,Belém,Norte
2008-02-07,29.6,24.3,26.1,5.2,13.3,21.3,Belém,Norte
2008-02-08,30.0,24.2,26.6,1.4,15.7,21.73,Belém,Norte
2008-02-09,30.4,24.6,26.8,1.6,13.2,21.47,Belém,Norte
2008-02-10,30.2,24.3,26.6,3.7,15.5,22.15,Belém,Norte
2008-02-11,29.2,24.5,26.0,7.4,12.3,18.05,Belém,Norte
2008-02-12,28.3,24.2,25.6,13.0,14.2,17.2,Belém,Norte
2008-02-13,29.5,23.7,25.9,5.3,15.5,16.64,Belém,Norte
2008-02-14,29.5,24.4,26.2,3.5,12.2,20.69,Belém,Norte
2008-02-15,26.8,24.1,25.0,13.1,12.0,9.58,Belém,Norte
2008-02-16,27.3,23.6,25.0,6.3,9.9,9.66,Belém,Norte
2008-02-17,28.4,23.4,25.0,8.9,10.0,15.26,Belém,Norte
2008-02-18,29.0,23.5,25.6,12.1,12.4,18.31,Belém,Norte
2008-02-19,29.9,24.2,26.6,1.7,14.0,21.11,Belém,Norte
2008-02-20,27.7,24.1,25.5,17.9,14.5,12.36,Belém,Norte
2008-02-21,26.1,23.4,24.2,21.0,16.3,8.48,Belém,Norte
2008-02-22,27.3,23.4,25.0,4.9,10.2,14.22,Belém,Norte
2008-02-23,28.7,23.8,25.4,4.0,9.4,16.93,Belém,Norte
2008-02-24,29.2,23.9,26.0,1.4,13.2,21.07,Belém,Norte
2008-02-25,30.0,24.3,26.4,2.1,17.1,21.99,Belém,Norte
2008-02-26,29.9,24.1,25.7,11.4,14.0,20.45,Belém,Norte
2008-02-27,29.7,23.7,25.7,5.1,13.0,19.91,Belém,Norte
2008-02-28,27.8,24.1,25.2,15.3,16.1,14.88,Belém,Norte
2008-02-29,26.9,23.4,25.0,11.0,13.7,13.62,Belém,Norte
2008-03-01,27.4,23.5,24.9,24.3,8.9,12.49,Belém,Norte
2008-03-02,24.6,23.6,24.0,128.3,9.6,2.96,Belém,Norte
2008-03-03,28.5,23.5,25.5,27.8,11.7,13.58,Belém,Norte
2008-03-04,29.5,24.1,25.7,11.1,13.2,16.94,Belém,Norte
2008-03-05,28.2,23.7,25.4,10.3,12.3,16.14,Belém,Norte
2008-03-06,28.8,24.2,25.5,10.2,11.1,18.47,Belém,Norte
2008-03-07,28.6,23.3,25.0,13.2,7.2,18.19,Belém,Norte
2008-03-08,28.4,23.5,25.5,4.7,10.7,18.76,Belém,Norte
2008-03-09,28.0,23.5,25.4,7.3,13.0,16.56,Belém,Norte
2008-03-10,29.6,23.3,25.7,4.4,11.5,19.8,Belém,Norte
2008-03-11,27.0,24.2,25.3,23.2,14.3,14.71,Belém,Norte
2008-03-12,27.5,23.5,25.1,16.3,12.8,12.99,Belém,Norte
2008-03-13,28.4,23.6,25.3,6.8,10.9,17.83,Belém,Norte
2008-03-14,27.9,23.6,25.2,8.5,9.8,15.57,Belém,Norte
